wnv_density,avg_temp,tot_precip,avg_windspeed,spray_indicator,Species_CULEX ERRATICUS,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,Species_CULEX SALINARIUS,Species_CULEX TARSALIS,Species_CULEX TERRITANS,month_6,month_7,month_8,month_9,month_10
2,73.62903225806451,2.345,8.24516129032258,0,0,0,0,1,0,0,0,0,0,0,1,0
1,74.5,2.2299999999999995,7.967741935483869,0,0,1,0,0,0,0,0,0,0,1,0,0
18,70.54838709677419,1.56,7.711290322580646,0,0,1,0,0,0,0,0,0,0,0,1,0
5,72.90322580645162,1.7449999999999997,7.437096774193548,0,0,0,1,0,0,0,0,0,0,1,0,0
0,75.37096774193549,4.21,7.798387096774194,0,0,0,1,0,0,0,0,0,0,1,0,0
1,73.37096774193549,2.0249999999999995,7.911290322580644,0,0,1,0,0,0,0,0,0,0,1,0,0
2,74.01612903225806,2.285,8.291935483870969,0,0,0,1,0,0,0,0,0,1,0,0,0
2,74.12903225806451,1.6849999999999996,7.8677419354838705,0,0,0,0,1,0,0,0,0,0,1,0,0
1,70.58064516129032,4.9750000000000005,9.2,0,0,0,1,0,0,0,0,1,0,0,0,0
8,74.88709677419355,3.52,8.383870967741936,0,0,0,0,1,0,0,0,0,1,0,0,0
0,67.85483870967742,3.2299999999999995,7.211290322580647,0,0,0,0,1,0,0,0,0,0,0,1,0
1,74.5,2.2299999999999995,7.967741935483869,0,0,0,1,0,0,0,0,0,0,1,0,0
2,70.45161290322581,2.105,7.724193548387096,0,0,0,0,1,0,0,0,0,1,0,0,0
6,68.48387096774194,1.5900000000000003,9.093548387096776,1,0,1,0,0,0,0,0,0,0,0,0,1
0,65.53225806451613,8.82,9.666129032258064,0,0,0,1,0,0,0,0,1,0,0,0,0
1,71.51612903225806,2.35,7.201612903225807,0,0,0,1,0,0,0,0,0,1,0,0,0
1,64.08064516129032,3.135,8.40967741935484,0,0,0,1,0,0,0,0,0,0,0,1,0
3,68.85483870967742,5.909999999999999,8.629032258064516,0,0,0,1,0,0,0,0,1,0,0,0,0
1,72.90322580645162,4.29,8.638709677419353,0,0,0,1,0,0,0,0,0,1,0,0,0
5,70.90322580645162,1.665,7.4725806451612895,1,0,1,0,0,0,0,0,0,0,1,0,0
0,67.85483870967742,3.2299999999999995,7.211290322580647,0,0,1,0,0,0,0,0,0,0,0,1,0
0,71.24193548387096,1.825,7.687096774193547,0,0,1,0,0,0,0,0,0,0,1,0,0
1,76.01612903225806,5.39,6.870967741935485,0,0,0,1,0,0,0,0,0,0,1,0,0
0,71.8225806451613,2.365,7.645161290322581,0,0,0,1,0,0,0,0,0,0,0,1,0
0,71.38709677419355,4.18,8.46774193548387,0,0,0,0,1,0,0,0,0,1,0,0,0
1,72.90322580645162,4.29,8.638709677419353,0,0,0,0,1,0,0,0,0,1,0,0,0
0,69.87096774193549,1.38,8.379032258064516,0,0,1,0,0,0,0,0,0,0,0,1,0
2,70.90322580645162,1.665,7.4725806451612895,0,0,0,1,0,0,0,0,0,0,1,0,0
0,76.01612903225806,5.39,6.870967741935485,0,0,1,0,0,0,0,0,0,0,1,0,0
2,69.87096774193549,1.38,8.379032258064516,0,0,1,0,0,0,0,0,0,0,0,1,0
2,71.24193548387096,1.825,7.687096774193547,0,0,0,1,0,0,0,0,0,0,1,0,0
4,75.91935483870968,2.97,8.47258064516129,0,0,0,0,1,0,0,0,0,1,0,0,0
0,70.45161290322581,2.105,7.724193548387096,0,0,0,0,1,0,0,0,0,1,0,0,0
0,72.83870967741936,6.044999999999999,7.483870967741935,0,0,0,1,0,0,0,0,0,1,0,0,0
1,79.41129032258064,5.459999999999999,7.674193548387097,0,0,0,1,0,0,0,0,0,1,0,0,0
2,74.80645161290323,1.805,7.754838709677419,0,0,1,0,0,0,0,0,0,0,0,1,0
1,74.62903225806451,3.4850000000000003,7.922580645161291,0,0,1,0,0,0,0,0,0,0,1,0,0
