Species,month,wnv_density,spray_indicator,avg_temp,avg_dewpt,avg_wetbulb,tot_precip,avg_windspeed,WnvPresent
CULEX PIPIENS/RESTUANS,5,8,0,63.4375,44.375,53.410714285714285,1.52,10.2875,0
CULEX RESTUANS,5,8,0,63.4375,44.375,53.410714285714285,1.52,10.2875,0
CULEX RESTUANS,5,0,0,63.4375,44.375,53.410714285714285,1.52,10.2875,0
CULEX PIPIENS/RESTUANS,5,4,1,63.4375,44.375,53.410714285714285,1.52,10.2875,0
CULEX RESTUANS,5,4,1,63.4375,44.375,53.410714285714285,1.52,10.2875,0
CULEX RESTUANS,5,3,0,63.4375,44.375,53.410714285714285,1.52,10.2875,0
CULEX RESTUANS,5,0,0,63.4375,44.375,53.410714285714285,1.52,10.2875,0
CULEX PIPIENS/RESTUANS,5,2,0,63.4375,44.375,53.410714285714285,1.52,10.2875,0
CULEX RESTUANS,5,2,0,63.4375,44.375,53.410714285714285,1.52,10.2875,0
CULEX RESTUANS,5,1,0,63.4375,44.375,53.410714285714285,1.52,10.2875,0
CULEX PIPIENS/RESTUANS,5,0,1,63.4375,44.375,53.410714285714285,1.52,10.2875,0
CULEX PIPIENS/RESTUANS,5,0,0,63.4375,44.375,53.410714285714285,1.52,10.2875,0
CULEX RESTUANS,5,0,0,63.4375,44.375,53.410714285714285,1.52,10.2875,0
CULEX PIPIENS/RESTUANS,5,8,0,63.4375,44.375,53.410714285714285,1.52,10.2875,0
CULEX RESTUANS,5,8,0,63.4375,44.375,53.410714285714285,1.52,10.2875,0
CULEX RESTUANS,5,1,0,63.4375,44.375,53.410714285714285,1.52,10.2875,0
CULEX RESTUANS,5,1,0,63.4375,44.375,53.410714285714285,1.52,10.2875,0
CULEX RESTUANS,5,6,0,63.4375,44.375,53.410714285714285,1.52,10.2875,0
CULEX PIPIENS,5,6,0,63.4375,44.375,53.410714285714285,1.52,10.2875,0
CULEX PIPIENS/RESTUANS,5,0,0,63.4375,44.375,53.410714285714285,1.52,10.2875,0
CULEX RESTUANS,5,0,0,63.4375,44.375,53.410714285714285,1.52,10.2875,0
CULEX PIPIENS/RESTUANS,5,6,1,63.4375,44.375,53.410714285714285,1.52,10.2875,0
CULEX PIPIENS/RESTUANS,5,0,0,63.4375,44.375,53.410714285714285,1.52,10.2875,0
CULEX RESTUANS,5,0,1,63.4375,44.375,53.410714285714285,1.52,10.2875,0
CULEX RESTUANS,5,2,1,63.4375,44.375,53.410714285714285,1.52,10.2875,0
CULEX PIPIENS/RESTUANS,6,8,0,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX RESTUANS,6,8,0,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX PIPIENS,6,8,0,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX PIPIENS/RESTUANS,6,4,1,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX RESTUANS,6,4,1,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX PIPIENS/RESTUANS,6,3,0,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX RESTUANS,6,3,0,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX PIPIENS,6,3,0,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX RESTUANS,6,0,0,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX PIPIENS/RESTUANS,6,2,0,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX RESTUANS,6,2,0,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX PIPIENS,6,2,0,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX RESTUANS,6,1,0,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX PIPIENS/RESTUANS,6,0,1,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX RESTUANS,6,0,1,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX RESTUANS,6,0,0,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX RESTUANS,6,8,0,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX PIPIENS/RESTUANS,6,1,0,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX PIPIENS/RESTUANS,6,6,0,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX RESTUANS,6,6,0,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX PIPIENS,6,6,0,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX PIPIENS/RESTUANS,6,6,1,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX RESTUANS,6,6,1,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX RESTUANS,6,0,1,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX RESTUANS,6,2,1,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX RESTUANS,6,3,0,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX RESTUANS,6,7,0,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
CULEX RESTUANS,6,7,1,66.14516129032258,48.0,56.33870967741935,2.525,9.667741935483871,0
